time_since_launch,orbital_altitude,battery_voltage,solar_panel_temperature,attitude_control_error,data_transmission_rate,thermal_control_status,satellite_health
3174,1827.2039677850312,28.633451045230608,-13.07455258,1.5533135703410084,10.600079063614329,0,1
3507,1290.5664491427908,21.59164738088654,-15.56862213,2.593412264827168,47.291053567549504,1,1
860,510.98252511342156,20.15088030210695,28.709229745032758,2.680356619355009,33.734476259161866,1,0
1294,506.40533935845264,,24.760466788437824,3.8539896930368327,86.47628979,1,0
1130,1525.9250075066002,24.32102897411628,-49.53996971,2.5893449704290394,35.84132498106753,0,1
1095,612.4339307,25.519012184951723,-20.36184765,3.028687003102553,58.946092622024324,1,1
3092,858.2553493482291,28.332217713715004,12.366364778532557,3.766640253804558,76.62425033775348,1,0
1638,1128.2604117672536,28.02360550982478,-37.9734378,0.5056600233997266,54.750724656966675,1,1
2169,342.1002919,21.00043284430011,-42.88017055,4.817360617624847,46.93622947171951,1,1
466,722.9923459338842,29.33995366676674,32.83981194984817,4.23152088,13.826620446067999,0,0
1238,993.4123344623761,21.104143946744447,-4.731572783,1.9438630681155349,12.063895187921357,0,1
330,775.3817414384506,26.34570508534236,35.568736792085346,3.6420879453687167,96.15899755513351,0,0
1482,531.8295566948619,26.724062935955757,32.35527271765656,3.8116255220437334,67.89196517501964,0,1
2135,1537.6208382535356,26.79877487223088,39.33705221405856,4.251232247078284,84.27284184783426,0,0
3444,1682.3510137855744,22.653511716753908,-45.17254364,0.9415841256702606,53.23945440023592,0,0
3171,737.7142594443322,23.30345091764992,-31.38699339,3.518513763219013,33.54228965538539,1,0
2919,1616.5131408307157,25.48676875149397,-20.38568356,0.16670265263141804,36.50840017839099,1,0
130,955.4410594822335,21.995874958000982,-36.37696122,0.5778956202694069,13.914245665533407,0,1
1685,1161.3658444518046,20.203104678333514,-1.453017921,3.8803348023275186,81.17951646956936,1,0
3380,1755.2018273183598,25.621444545085758,29.897689003905853,4.065015019408797,62.341370262854696,1,1
769,1574.9212590640934,24.65278572012007,45.11818108497046,2.962182260622823,53.27215991995855,0,0
2391,1668.6986472375022,26.56731206223462,38.95741345,2.9084298709194862,86.70673402,1,0
1515,532.6367831968066,21.467005758336597,-4.266331998,3.747557141839648,50.03605248643744,0,0
3485,418.5230239173401,28.409248945898515,13.64911013709522,4.530424110443508,95.31371349,1,1
2853,1818.788039449578,21.462214884605274,-26.93038766,2.1055758543381486,11.191287644421461,0,0
2433,959.3182582708604,28.913436048800236,-9.699100007,0.5741055930367411,98.61547250459799,0,1
1215,789.3954527184574,24.49521172595703,37.11825954,4.194996922,83.42951792025761,0,0
955,1531.9836322451017,25.498052593726946,-47.0802478,1.7082207298537648,41.94452819582051,1,1
2324,1721.9065141857564,28.96581335963989,3.2759272643474304,0.6689288660529519,63.58272041067239,1,1
1184,1766.2323572271116,22.99913048477067,37.279829789902124,3.073082000714157,87.81445109397279,1,1
459,837.1951399128865,21.818269962411517,-37.79901261,2.8904196260584483,53.343851777242804,1,1
3385,1748.7610650428458,24.457516208194537,48.254620195112196,2.3712310325119432,14.59447408,0,1
21,369.5877054363872,22.443672285277067,-48.7608536,4.298986221235794,91.33264739880035,0,1
2300,384.42453548152207,25.27843911540317,38.61200114631643,1.3611291770168394,56.53146221898001,1,0
747,1359.9826317960626,22.752578644443165,-14.63274256,0.066176326,59.064151708138716,1,1
2904,407.2808274964286,28.644895355954567,-36.73094183,1.617343595,11.234635902882122,1,0
3632,851.8355864672747,26.073245922577257,-34.26418247,0.048529802,19.00594629491512,0,0
474,1443.6851766197708,20.002406697429024,20.11787183542708,2.7179560544841963,79.9658061,1,1
1082,873.3537232921848,28.054737346798248,37.071967665594414,1.891241464,49.14544138073034,0,1
2558,605.3196284,23.30212336726146,14.106635380678796,4.069713704,99.82524815901678,1,0
2047,778.2960571515307,23.20207984154957,42.872497136075296,3.9879267624540877,72.61099081419741,1,0
3547,1077.8780648257339,23.830628121344674,34.24787950568991,2.1731924664933184,95.46410299518243,1,1
2747,1108.155954,26.302625280840807,-49.09681931,1.082426367929115,35.141691499324224,1,0
975,1631.1003932902433,24.42060710394223,16.942966443013475,2.1121493297114853,25.85382085467689,0,0
1806,1575.2604900335714,26.286355465697024,-19.53653113,3.206588662718146,43.89304829324833,0,1
189,1076.5902677454299,21.467807216357922,-4.549998828,0.9510299078645368,33.829169095439255,0,0
3005,1737.6344934679114,29.701644645240858,-40.59692519,3.8652330778515145,65.20291124863657,0,1
2734,494.20313560537295,27.29606287083864,-21.79008381,1.6528010521763692,76.99978415895077,0,1
3005,734.1006953891325,22.50207107178383,13.268596743250747,4.660884974587046,46.18877616480995,1,0
562,1707.5599879538277,27.241699080747757,-28.16178697,2.5593526513730396,18.086142414998797,1,0
1899,942.5898656644603,25.750254562616394,14.753666827119304,4.235632670648611,12.369876531757079,1,0
3638,1968.0086499495317,21.091889964035147,42.303217079667235,3.0794629014830126,29.622493620537256,0,1
1267,1092.6305785973202,21.78196426788126,-49.5059695,2.773009218893688,75.92386923148592,0,0
2879,1646.290559038399,20.41308141921465,28.577071972985834,3.4106506674255614,29.93971719743327,1,0
1528,983.9219703500323,28.09238071674681,14.131888016318825,4.057455618538804,91.98768359725194,0,1
3202,1022.4209824061317,25.51704752595235,-45.33672373,3.222537522048681,68.64791583606603,1,0
3556,950.9013503831119,23.16748648650212,29.016713724522035,3.9862034359585117,87.58806734495033,1,0
646,1522.428555,21.26344902,-27.54789649,0.952325822,44.723325232765376,1,1
2068,1230.7804029019906,24.84045875960379,-23.41794593,1.3875827018740057,98.51948762707468,0,1
2888,1904.4227893262275,25.252613467179387,-40.64843175,1.1486141079365337,71.15485698147913,0,0
2214,726.5135381079781,27.019485009805052,3.4379815343259423,3.9915159390728787,42.12638879557539,0,1
1297,470.9566445418554,29.699372104470914,-0.177625973,0.4306427942853791,29.12852195559383,0,0
2435,968.5445246686659,24.349455304073746,-15.28254937,3.9793159872086403,87.98781981780745,1,1
600,1348.4116029995191,24.060342065943694,-33.12461922,1.9452114990726082,38.62884482878745,1,1
2363,1763.3581927563416,23.699300045901225,33.79535544990658,0.39753581008697747,13.992781829793419,1,1
2061,888.5347073565571,28.26923908966861,37.63784300676717,2.1221313076323116,35.07928414671069,0,0
241,1411.4374769115848,21.563172213992377,4.057961071,1.5025115026692566,26.150623296621973,0,1
2041,895.3377577394724,23.438129036350894,-25.57746664,2.959760913913248,38.775809437839015,0,1
2824,1349.2732910905788,27.24970804875391,-40.38899343,2.362633165469065,65.19395616618226,1,1
3417,1804.1735099521065,20.156949353424466,36.85441674915627,1.4838869554417506,55.03886986948747,0,1
2612,693.3079918409953,22.893807236056947,-40.39472804,4.311329722027578,73.97653441080757,0,0
2945,987.2107915819665,,-48.68199623,2.0341071242278446,40.04489247730822,0,1
1363,1988.550833930569,21.859520980008046,-3.060242266,2.3534499590088935,20.782757781096663,1,0
2139,1776.5469480240833,23.02710569124271,23.127102197933425,4.233142623762288,24.424099384122144,1,0
1390,1259.8877584235433,24.860450744832292,-4.246299552,0.44528304172010647,81.75544883,1,1
3003,1178.266906152268,24.220235659696872,-44.8589393,1.9494657088887235,18.819159191250854,1,0
1478,783.8206499179577,21.06027189955379,19.002911342182287,2.0142834326419488,81.83135959177959,0,1
3499,1179.256027,29.382353222556326,14.23326205578509,2.479128275783417,29.136641543288228,1,0
2556,1741.908547,20.44292720582093,18.15297311,0.5306029617970265,71.05641562239124,0,1
775,1464.796672572227,27.49742756422818,-28.87975087,0.5133006062477569,66.07866598587339,1,0
34,793.0748479025772,20.714227710911576,29.56984091,2.0820797788295793,18.843439308439713,1,0
2253,642.4886658,24.672958030250793,-2.083178825,0.1651450417336392,69.92771518754596,1,1
3152,750.8545128946096,21.75411291655411,3.6352810590440257,1.2749217952981757,50.27567428673335,0,1
1955,588.5906424,21.410977964289252,4.583000965424908,1.0058837688578182,73.64457426530177,1,0
1585,462.5891832403171,,-21.31935629,2.446931306617874,85.19264817195673,1,0
3459,1012.5314965514934,24.527866366953425,-24.98658957,0.055797786091053014,13.554943228481322,0,1
3073,492.6093274770551,,-49.52338695,3.378667251319852,68.31665486905948,0,0
1021,592.2513481360774,21.33384494,-10.33896579,4.277936536,19.446204484340292,1,0
3461,1230.4519633771265,29.793957302662395,-1.489701606,3.5337075911965217,44.09880169571487,0,0
2613,579.8187653,22.57765886862223,24.280374565529854,4.090390847,11.141065542457172,1,1
1129,408.59560463253484,24.588413396027832,-43.33730391,3.2165820189909327,39.57794302420857,1,0
1500,839.5610450474048,22.16269557601908,42.398941239871135,2.5368351719457083,25.24193643606027,0,1
702,674.5424676573448,24.939226454495454,-23.60415318,1.095107986548337,60.06378653620331,1,1
2449,1176.0188195904404,27.56016582465182,-13.32793099,1.3981317384143206,56.104433752153284,0,0
